"","ID_0","COUNTRY","NAME_1","NL_NAME_1","ID_2","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2","PM25pc","PM25pc_2019"
"1","USA","United States","Arkansas",NA,"USA.4.1_1","Arkansas",NA,NA,"County","County",NA,"US.AR.AR",7.11562123104272,8.39524797224188
"2","USA","United States","Arkansas",NA,"USA.4.2_1","Ashley",NA,NA,"County","County",NA,"US.AR.AS",7.43559201286284,8.12768626314261
"3","USA","United States","Arkansas",NA,"USA.4.3_1","Baxter",NA,NA,"County","County",NA,"US.AR.BA",6.25082706950875,7.59729454419779
"4","USA","United States","Arkansas",NA,"USA.4.4_1","Benton",NA,NA,"County","County",NA,"US.AR.BE",7.26403451653473,8.30588121474731
"5","USA","United States","Arkansas",NA,"USA.4.5_1","Boone",NA,NA,"County","County",NA,"US.AR.BO",6.26731980050928,7.39717196366398
"6","USA","United States","Arkansas",NA,"USA.4.6_1","Bradley",NA,NA,"County","County",NA,"US.AR.BR",7.35291277030147,7.75482247687583
"7","USA","United States","Arkansas",NA,"USA.4.7_1","Calhoun",NA,NA,"County","County",NA,"US.AR.CA",7.52148788181736,8.02140667184746
"8","USA","United States","Arkansas",NA,"USA.4.8_1","Carroll",NA,NA,"County","County",NA,"US.AR.CL",6.1426326268216,7.60188125309995
"9","USA","United States","Arkansas",NA,"USA.4.9_1","Chicot",NA,NA,"County","County",NA,"US.AR.CT",7.28322738103294,8.15950198939951
"10","USA","United States","Arkansas",NA,"USA.4.10_1","Clark",NA,NA,"County","County",NA,"US.AR.CK",7.4419566255249,8.372049356807
"11","USA","United States","Arkansas",NA,"USA.4.11_1","Clay",NA,NA,"County","County",NA,"US.AR.CY",7.3882198267906,9.65272928600961
"12","USA","United States","Arkansas",NA,"USA.4.12_1","Cleburne",NA,NA,"County","County",NA,"US.AR.CB",6.3253833307113,7.60488475075376
"13","USA","United States","Arkansas",NA,"USA.4.13_1","Cleveland",NA,NA,"County","County",NA,"US.AR.CV",6.90756198224409,8.11916090264437
"14","USA","United States","Arkansas",NA,"USA.4.14_1","Columbia",NA,NA,"County","County",NA,"US.AR.CI",7.6523336238071,8.12842197386797
"15","USA","United States","Arkansas",NA,"USA.4.15_1","Conway",NA,NA,"County","County",NA,"US.AR.CN",6.72706748532401,8.20943167781419
"16","USA","United States","Arkansas",NA,"USA.4.16_1","Craighead",NA,NA,"County","County",NA,"US.AR.CG",7.2759378202867,9.4438036830135
"17","USA","United States","Arkansas",NA,"USA.4.17_1","Crawford",NA,NA,"County","County",NA,"US.AR.CW",7.06899996048473,8.17854789400696
"18","USA","United States","Arkansas",NA,"USA.4.18_1","Crittenden",NA,NA,"County","County",NA,"US.AR.CD",7.5760259376903,9.18867723713623
"19","USA","United States","Arkansas",NA,"USA.4.19_1","Cross",NA,NA,"County","County",NA,"US.AR.CO",6.9327730696076,9.36179105679581
"20","USA","United States","Arkansas",NA,"USA.4.20_1","Dallas",NA,NA,"County","County",NA,"US.AR.DA",7.53302059385037,8.04401084531687
"21","USA","United States","Arkansas",NA,"USA.4.21_1","Desha",NA,NA,"County","County",NA,"US.AR.DE",7.14281127867151,8.22315077886296
"22","USA","United States","Arkansas",NA,"USA.4.22_1","Drew",NA,NA,"County","County",NA,"US.AR.DR",7.14927594192332,7.84133602673039
"23","USA","United States","Arkansas",NA,"USA.4.23_1","Faulkner",NA,NA,"County","County",NA,"US.AR.FA",7.17934333825342,8.53515183281534
"24","USA","United States","Arkansas",NA,"USA.4.24_1","Franklin",NA,NA,"County","County",NA,"US.AR.FR",6.68521587066819,7.93221626882571
"25","USA","United States","Arkansas",NA,"USA.4.25_1","Fulton",NA,NA,"County","County",NA,"US.AR.FU",5.68735557830694,7.17279678263667
"26","USA","United States","Arkansas",NA,"USA.4.26_1","Garland",NA,NA,"County","County",NA,"US.AR.GL",7.19443157002466,8.25397880459115
"27","USA","United States","Arkansas",NA,"USA.4.27_1","Grant",NA,NA,"County","County",NA,"US.AR.GN",7.48115792511927,8.4887717791422
"28","USA","United States","Arkansas",NA,"USA.4.28_1","Greene",NA,NA,"County","County",NA,"US.AR.GE",6.91720857745825,9.6946997030648
"29","USA","United States","Arkansas",NA,"USA.4.29_1","Hempstead",NA,NA,"County","County",NA,"US.AR.HE",7.53575718899806,8.05389002854044
"30","USA","United States","Arkansas",NA,"USA.4.30_1","Hot Spring",NA,NA,"County","County",NA,"US.AR.HT",7.37287843983063,8.47034153848935
"31","USA","United States","Arkansas",NA,"USA.4.31_1","Howard",NA,NA,"County","County",NA,"US.AR.HW",7.28303718847062,7.98010842047085
"32","USA","United States","Arkansas",NA,"USA.4.32_1","Independence",NA,NA,"County","County",NA,"US.AR.IN",6.10250579922965,7.80408298261854
"33","USA","United States","Arkansas",NA,"USA.4.33_1","Izard",NA,NA,"County","County",NA,"US.AR.IZ",5.70071324875949,7.10896084577196
"34","USA","United States","Arkansas",NA,"USA.4.34_1","Jackson",NA,NA,"County","County",NA,"US.AR.JA",7.4128565409883,8.47621935336734
"35","USA","United States","Arkansas",NA,"USA.4.35_1","Jefferson",NA,NA,"County","County",NA,"US.AR.JE",7.52477310307468,8.52201658359303
"36","USA","United States","Arkansas",NA,"USA.4.36_1","Johnson",NA,NA,"County","County",NA,"US.AR.JO",6.52275041312159,7.86062219500821
"37","USA","United States","Arkansas",NA,"USA.4.37_1","Lafayette",NA,NA,"County","County",NA,"US.AR.LF",7.73080893943409,8.07305309831672
"38","USA","United States","Arkansas",NA,"USA.4.38_1","Lawrence",NA,NA,"County","County",NA,"US.AR.LW",7.24122578947605,8.58208869971948
"39","USA","United States","Arkansas",NA,"USA.4.39_1","Lee",NA,NA,"County","County",NA,"US.AR.LE",6.4926820782986,8.69156256193445
"40","USA","United States","Arkansas",NA,"USA.4.40_1","Lincoln",NA,NA,"County","County",NA,"US.AR.LC",7.05193243365491,8.13649533457528
"41","USA","United States","Arkansas",NA,"USA.4.41_1","Little River",NA,NA,"County","County",NA,"US.AR.LT",7.30346628538189,7.76073084195068
"42","USA","United States","Arkansas",NA,"USA.4.42_1","Logan",NA,NA,"County","County",NA,"US.AR.LG",6.66689092134391,7.76726696157304
"43","USA","United States","Arkansas",NA,"USA.4.43_1","Lonoke",NA,NA,"County","County",NA,"US.AR.LO",7.34416105772576,8.28987076539603
"44","USA","United States","Arkansas",NA,"USA.4.44_1","Madison",NA,NA,"County","County",NA,"US.AR.MD",6.06242768234538,7.38124216681281
"45","USA","United States","Arkansas",NA,"USA.4.45_1","Marion",NA,NA,"County","County",NA,"US.AR.MN",6.12870872613413,7.11458013899811
